speaker,timestamp,conversation_text,transcript,other_text,condition,rationality,social_impact,valence
Speaker 1,0:14,"All right. Um, so you just click the next button, I guess.",1003,[],empathy,0.974878327,-0.015834804,0.133122791
Speaker 2,0:19,"Uh, I guess so, yeah. Let's see. Uh, okay. Yeah. Yeah. What's your name by the way?",1003,[],empathy,0.917069319,-0.028810064,0.110927743
Speaker 1,0:33,"I don't, are we allowed to sa- say what our name is?",1003,[],empathy,0.99584215,-0.064660099,0.156098262
Speaker 2,0:34,"Oh, are we not allowed to? I don't know. Maybe you're right.",1003,[],empathy,0.87595972,-0.099457867,0.10417828
Speaker 1,0:38,I have no idea. Okay. Let's just do benefit of the doubt. We can't say it. Um-,1003,[],empathy,0.934981894,-0.119198468,0.096938051
Speaker 2,0:42,Okay.,1003,[],empathy,0.812721377,-0.120297631,-0.004907734
Speaker 1,0:43,"... so I guess the first one, I wish I had someone with whom I could share blank, who, um, I don't know, like, I, I guess that I'm in a relationship, I have a girlfriend, so I guess I have that person, um, I guess for me like the, the blank void, I guess, would be like, I just enjoy sharing my day, um, time spent, I have with, you know, throughout my day of what, what I do. Um, I don't know. It's nothing too specific I guess. And I don't tend to be a very emotional guy. Um, so I think it's just more like my routine. I'm, I'm, I have a huge routine, um, in my day. And I get to just like to share that and then like, when something exciting happens, I share the exciting things, but I don't like to dwell on, um, bad things happening in life. So I, I don't know how you react to that, but...",1003,[],empathy,0.906555008,-0.062742417,0.146467833
Speaker 2,1:46,"Yeah, no, that makes sense. Uh, sounds like you're just a positive guy. Uh, let's see, for me, uh, I feel like I would say, I wish I had someone with whom I could share a meal. Uh, just 'cause I think at school that's like one of my favorite parts, is like going in a dining hall or eating club or whatever, and there's just always someone to, to hang out with and talk with. And then at home, uh, that kind of isn't there. Uh, just-",1003,[],empathy,0.872232251,-0.033917295,0.169557311
Speaker 1,2:15,You don't-,1003,[],empathy,0.619370504,-0.194636009,0.015648773
Speaker 2,2:15,"... 'cause everyone, everyone's on their own schedule. So with only like five people in the house, you don't really get that.",1003,[],empathy,0.923194277,0.039750322,0.160694659
Speaker 1,2:19,"No, definitely. Yeah, that, that's something I also, I guess Sundays, like I'm living with some buddies, um, in a house right now, but, and like every Sunday we try to have like our, our version of a family dinner, um-",1003,[],empathy,0.871548305,0.000212967,0.156274943
Speaker 2,2:33,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,2:34,"... where one person cooks and we all sit around the table together. Um, I think there's lots of valuable things about, you know, sharing a meal together, just, just interaction. I think that's the one thing like this whole COVID stuff has taken away from just like interaction with others. Like you don't really get that face-to-face. So I, I definitely agree with you. Um, what would constitute a perfect day for you? I don't know, you wanna go ahead?.",1003,['laugh'],empathy,0.926027835,-0.038957971,0.176543208
Speaker 2,3:01,"Uh, sure. Let's see. Uh, um, let's see, wake up, eat. Uh, I'm trying to bulk up for ROTC. So I won't say the every time I eat, but eat a lot of food during the day. Uh, let's see, uh, go fly for a bit, uh, maybe an hour or two. Uh, go to the gym. And, uh, let's see, maybe, uh, I go golfing, do some golfing. Uh, and let's see, finish off the night with, uh, I guess the perfect day we'll watch like the Super Bowl or something and uh-",1003,[],empathy,0.888606062,-0.028484718,0.112738058
Speaker 1,3:59,.,1003,['laugh'],empathy,NA,NA,NA
Speaker 2,4:00,"... have some pizza and, and maybe play some Texas hold 'em afterwards.",1003,[],empathy,0.793729999,-0.005874496,0.201260742
Speaker 1,4:07,Saturday game day.,1003,[],empathy,0.96527724,0.042125124,0.036025657
Speaker 2,4:08,"The perfect, the perfect day. Yeah. How about you?",1003,[],empathy,0.948068022,-0.09557871,0.227115867
Speaker 1,4:11,"Um, I, honestly, I feel like our, our perfect days are kind of similar to be honest. Um, and I would do, my, I think part of my perfect day would be making sure I wake up every early. Um-",1003,[],empathy,0.896978797,-0.050916522,0.163413635
Speaker 2,4:23,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,4:24,"... I hate waking up late. Um, having a nice, a nice breakfast and then hitting the gym, doing some baseball stuff. And then I think probably my perfect day, I would, I would go to the lake just like with all my friends, family just enjoy a day on the lake. Um, after, I think my big thing is like my, my outlook has always been like, alright, I, if I get all my stuff done, then I need to get done for the day, then I can go have fun. Um, so, you know, there's things that still need to be done, um, but I can go have fun after that. So I don't know. Um-",1003,[],empathy,0.898745078,-0.053088984,0.154019591
Speaker 2,4:57,"Yeah, no, that sounds fun.",1003,[],empathy,0.722733521,0.02118107,0.244748296
Speaker 1,5:04,"... for what in your life do you feel most grateful? Um, I guess for me there's like two, two things I'm extremely grateful for. Um, one is my family, more specifically my dad. Um, just 'cause he taught me so many valuable lessons. Like I guess referring back to the past is kind of about empathy. Like I don't really think I tend to be a very empathetic person, which like, I feel like I, I realize and am very aware of. But like my dad no, he, he literally no matter who the person is like will treat them with the equal amount of respect. It doesn't like matter like, I guess I think part of it honestly came from like he was in the air force and you're saying ROTC, like I think like probably being in that and like having that hierarchy, like probably showed him that like maybe he's not super fond of like the hierarchy and how that all works. Um, so I, I think he, he really recognizes that like, all right, you do have to be empathetic and like you have to show respect to everyone. I mean 'cause you simply don't know what's going on in their life, which is, I'm very appreciative that, like I've seen that firsthand from my dad, even though I might not pick up on it as much as I probably should. And then the other thing I'm really grateful for is like baseball, which has provided me with so many opportunities. Like, it's part of the reason I got into Princeton. It's literally like my most love thing in life. I just enjoy it so much. It brings lots of happiness to me. It's provided me, um, like it's allowed me to travel the country, live in different places. It's literally been like the motivation behind pretty much what I do, um, with my life. So I guess those are the two things I'm super grateful for.",1003,['laugh'],empathy,0.882855526,-0.020171343,0.19508551
Speaker 2,7:04,"Sweet. No, that's, uh, that's very cool. Um, let's see, for me, uh, yeah, I would agree, uh, most grateful for, definitely my family. Uh, great role models in both my parents. Uh, my dad was also in the military. Uh, he's in the Navy, he's a pilot. Uh, so definitely incredible role model there. And then my mom is, uh, just like an incredibly, uh, humble person, uh, and just like gives everything for, for us. Uh, so yeah, it's hard not to be grateful for that. Um, let's see, I'm also very grateful for, uh, getting into Princeton, but also, uh, I started dating my girlfriend in high school and then she also got into Princeton a year after me. Uh, so obviously like getting into Princeton is pretty cool, but when then she did it right after me and then we got to go to college together that was, uh, pretty unbelievable. So yeah, I, uh, I'm incredibly grateful for that.",1003,[],empathy,0.891897329,-0.018481973,0.171305306
Speaker 1,8:15,"Yeah, no, did you ever, uh, think about going to a, uh, like one of the academies?",1003,[],empathy,1.007572008,-0.052736468,0.119525025
Speaker 2,8:21,"Uh, I did. Yeah, I applied to the Naval Academy. Got rejected.",1003,[],empathy,0.94825299,-0.143863746,0.061217606
Speaker 1,8:25,Really?,1003,[],empathy,0.882139961,-0.21827332,0.152293084
Speaker 2,8:26,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,8:26,"I, I almost went to the Naval Academy. My parents want me to go so bad. But-",1003,[],empathy,0.934210657,-0.039735905,0.082076831
Speaker 2,8:31,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,8:31,"... like, I mean, granted it's a little different, like getting recruited to go there because I'm a-",1003,[],empathy,0.901008454,-0.054853773,0.135001415
Speaker 2,8:37,Yeah.,1003,[],empathy,0.761711808,-0.192571471,-0.042331857
Speaker 1,8:37,"... little younger when I have to like decide. I'm not, my senior-",1003,[],empathy,0.910206967,0.02440902,0.159628455
Speaker 2,8:41,Okay.,1003,[],empathy,0.812721377,-0.120297631,-0.004907734
Speaker 1,8:41,"... year, it'd be like my sophomore and junior year. It's like-",1003,[],empathy,0.793733098,0.048586814,0.084880156
Speaker 2,8:44,Oh geez.,1003,[],empathy,0.482806543,-0.082998445,-0.017933208
Speaker 1,8:45,"... I just couldn't justify like as a 14, 15, 16 year old, like dedicating X amount of years after my life towards it. It was hard for me to justify.",1003,[],empathy,0.893540826,-0.025686636,0.087259587
Speaker 2,8:56,"Yeah, no, that's, that's crazy. I didn't realize they would try to make you commit that early.",1003,[],empathy,0.896888658,-0.054093513,0.053779486
Speaker 1,9:00,"Yeah. It's, its crazy. Um, so I guess the next one, uh, do we have to go in order, do you think? I feel like if we wanna reference some, some of those things, I guess the next one kind of can reference some article, I guess. Share a personal problem/struggle you have, or, or having and ask your partner's advice on how they might handle it. Also ask your partner to reflect back to how you seem to be feeling about the problem you have cho- chosen. Um, I don't know if you wanna go ahead. Um, how do you think about this?",1003,[],empathy,0.961960615,-0.017606615,0.165251731
Speaker 2,9:34,"Uh, sure, yeah. Um, let's see. I think this was definitely my hardest semester so far. Uh, so I was taking my, I, I don't know why I did this. I chose to take three COS classes-",1003,[],empathy,0.968219355,-0.117360748,0.088891239
Speaker 1,9:49,.,1003,['laugh'],empathy,NA,NA,NA
